Strategy Name,N,AUM
Multifactor 60 (ETF),2015,1057637692.93
Multifactor 70 (ETF),1400,834195224.5
Multifactor 60 TM (ETF),410,527202111.48
Multifactor 80 (ETF),1320,526228216.59
Multifactor 70 TM (ETF),365,385606595.32
Multifactor 100 (ETF),1121,349418565.84
Multifactor 50 (ETF),722,343139604.3
"Multifactor 80 (ETF, All Weather)",471,306554954.83
Blended - 00328,10,279797845.66
Market 70 (ETF),468,262690436.35999998
Income 60 (ETF),332,225358699.22
Multifactor 80 TM (ETF),221,224568494.29
Market 70 TM (ETF),92,211729868.64000002
"Multifactor 60 (ETF, All Weather)",250,192286834.2
"Multifactor 60 (ETF, Ex China)",289,167849895.46
Multifactor 40 (ETF),338,161926640.15
"Multifactor 70 (ETF, Ex China)",221,148509186.19
"Multifactor 80 (ETF, Ex China)",341,135319104.47
Multifactor 90 (ETF),298,132052001.54
Market 100 (ETF),649,115832332.99
Market 60 TM (ETF),99,113530157.15
Market 80 (ETF),429,107532318.26
Blended - 00002,2,93273995.28999999
Market 60 (ETF),318,90195639.07
Multifactor 50 TM (ETF),138,88669304.31
"Multifactor 60 (ETF, exCore)",142,87308642.76
Multifactor 30 (ETF),175,76840035.22
Market 80 TM (ETF),107,62764281.83
"Multifactor 60 (ETF, QUSLGVMQ)",37,60349245.29
QP Market US Large,43,60037567.54
"Multifactor 70 (ETF, exCore)",107,56775311.35
Multifactor 20 (ETF),90,54067605.04
"Multifactor 70 (ETF, QUSLGVMQ)",34,53498805.79
"Multifactor 70 (ETF, All Weather)",81,53406006.17
"Multifactor 100 (ETF, QUSLGVMQ)",17,48906772.76
Multifactor 40 TM (ETF),53,47939384.26
"Multifactor 100 (ETF, exCore)",188,47862886.81
Market 90 (ETF),153,47840453.9
"Multifactor 80 (ETF, QUSALVMQ)",14,47356007.25
"Multifactor 100 (ETF, QUSALVMQ)",34,46041169.88
"Multifactor 70 TM (ETF, CA Muni)",9,44983773.93
"Multifactor 50 (ETF, exCore)",62,38778556.68
Blended - 00326,4,38495183.92
"Multifactor 50 (ETF, All Weather)",51,38156974.81
"Multifactor 80 (ETF, exCore)",107,38113137.54
Multifactor 90 TM (ETF),52,37733963.980000004
Income 40 (ETF),64,35713657.22
"Market 90 (ETF, MUSLGMKTLM, 5YCRPETF)",8,34793847.01
"Multifactor 80 (ETF, QUSLGVMQ)",27,33677586.75
"Multifactor 60 TM (ETF, QUSALVMQ)",16,33095115.740000002
Income 50 (ETF),49,32689236.64
"Multifactor 60 TM (ETF, Ex China)",46,27883423.32
"Market 100 (ETF, MUSLGMKTLM)",15,27509022.77
Market 50 (ETF),145,27466466.69
"Multifactor 50 (ETF, Ex China)",48,27220114.26
"Market 60 (ETF, ESG)",57,26400951.72
Market 40 (ETF),92,25660796.3
"Multifactor 40 (ETF, Ex China)",63,25539655.849999998
"Multifactor 70 TM (ETF, QUSLGVMQ)",13,25153908.91
Blended - 00072,1,24913394.28
"Multifactor 60 TM (ETF, QUSLGVMQ)",16,24345251.64
"Multifactor 100 (ETF, All Weather)",48,23357116.65
"Multifactor 60 (ETF, 5YCRPETF)",14,22012996.08
"Multifactor 70 (ETF, QUSALVMQ)",15,21616053.72
"Multifactor 40 (ETF, All Weather)",37,21174763.35
"MA Fixed Income (ETF, Global Short-Term)",82,20975340.06
Income 60 TM (ETF),35,20685735.76
"Multifactor 60 (ETF, B5YCRP)",10,20490975.42
Blended - 00339,1,20271857.73
MA 5 Year US Corporate Ladder (ETF),37,19251082.72
QP Factor US All Cap VMQ,15,19223182.64
Market 90 TM (ETF),18,18772323.91
Multifactor 30 TM (ETF),27,17698279.62
"Multifactor 80 TM (ETF, QUSALVMQ)",10,17600549.44
"Multifactor 100 (ETF, Ex China)",114,17544081.78
Income 30 (ETF),41,17436125.76
"Multifactor 100 (ETF, exCore, QUSLGVMQ)",14,16740441.87
"Multifactor 80 TM (ETF, Ex China)",15,16136553.75
"Multifactor 100 (ETF, Ex China, QUSLGVMQ)",3,15963839.83
MA Cash Mgmt (RayJay),83,15716221.52
Market 30 (ETF),52,15606950.21
"Multifactor 70 TM (ETF, Ex China)",13,15103120.09
QP Market US Large Div Income,21,14798062.53
"Multifactor 60 TM (ETF, exCore, QUSLGVMQ, N7YMUN)",1,14065235.19
Income 20 TM (ETF),9,13788832.1
"Multifactor 40 (ETF, QUSLGVMQ)",4,13550519.84
Blended - 00005,1,13539213.88
Income 70 (ETF),23,13522863.36
"Multifactor 70 TM (ETF, QUSLGVMQ, 5YMUNETF)",4,13451474.77
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",7,13269240.49
MA Cash Mgmt (Schwab),107,13100528.7
"Multifactor 90 (ETF, All Weather)",32,13019313.309999999
"Multifactor 60 (ETF, QUSALVMQ)",12,12909219.02
"Multifactor 30 (ETF, exCore)",22,12483838.18
"Multifactor 60 (ETF, QUSLGVMQ, 5YCRPETF)",8,12369897.78
"Multifactor 30 (ETF, All Weather)",15,12280105.84
"Multifactor 90 (ETF, QUSLGVMQ)",8,12198228.59
Income 40 TM (ETF),14,12178660.99
"Multifactor 60 (ETF, QUSALVMQ, B5YCRP)",4,12097419.34
"Market 90 TM (ETF, Ex China)",1,12006614.97
"Multifactor 40 TM (ETF, QUSLGVMQ, CA Muni)",1,11593926.03
"Multifactor 50 TM (ETF, exCore)",14,11588064.72
Income 70 TM (ETF),7,11508913.38
Blended - 00102,1,11488206.84
Income 30 TM (ETF),13,11407103.31
"Multifactor 80 TM (ETF, QUSLGVMQ)",10,11360519.1
"Multifactor 40 TM (ETF, Ex China)",19,11303607.94
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",3,10995720.09
"Multifactor 50 (ETF, 5YCRPETF)",9,10935549
"Multifactor 90 TM (ETF, QUSALVMQ)",6,10738476.83
MA Market US Large (ETF),46,10644889.97
QP Market Global,5,10540476.61
"MA Fixed Income (ETF, Global)",68,10456607
"Market 70 (ETF, MUSLGMKTLM)",3,10370116.100000001
"Multifactor 70 (ETF, QUSLGVMQ, 5YCRPETF)",9,10344921.77
"Multifactor 50 TM (ETF, QUSLGVMQ)",6,10314709.02
"Multifactor 90 (ETF, QUSALVMQ)",6,10130057.44
"Multifactor 60 TM (ETF, exCore)",15,10116891.120000001
"Multifactor 60 TM (ETF, QUSALVMQ, N7YMUN)",5,10072234.85
"Multifactor 80 (ETF, QUSLGVMQ, 5YCRPETF)",8,9831505.93
"Multifactor 80 TM (ETF, QUSALVMQ, N7YMUN)",2,9736892.45
"Multifactor 50 (ETF, QUSALVMQ)",5,9664263.48
"Multifactor 50 TM (ETF, QUSALVMQ)",9,9524448.7
Multifactor 20 TM (ETF),9,9430013.02
Income 20 (ETF),20,9398651.32
"Multifactor 50 (ETF, 5YTRYETF)",3,9091127.57
MA Cash Mgmt (Fidelity),49,9066038.24
"Multifactor 70 TM (ETF, QUSALVMQ)",8,9018729.76
"Multifactor 50 TM (ETF, 5YMUNETF)",2,8895884.780000001
"Multifactor 70 TM (ETF, exCore)",14,8868987.74
"Multifactor 90 TM (ETF, QUSLGVMQ)",4,8811444.92
"Market 90 (ETF, MUSLGMKTLM)",6,8776212.86
QP Factor US Large VMQ,16,8769525.61
MA Market US Large (SMA Low Min),12,8599982.31
QP Factor Global VMQ,7,8587146.92
"Multifactor 70 (ETF, QUSALVMQ, B5YCRP)",3,8542969.73
"Multifactor 50 (ETF, QUSLGVMQ)",6,8467614.16
"Market 100 (ETF, ESG)",16,8100421.55
"Market 80 (ETF, ESG)",36,8091167.85
"Multifactor 40 (ETF, B5YCRP)",6,7933451.76
"Multifactor 40 TM (ETF, N7YMUN)",2,7733374.68
"Multifactor 60 TM (ETF, CA Muni)",8,7529699
MA Fixed Income TM (ETF),22,7520315.22
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",4,7473253.38
"Market 80 (ETF, MUSLGMKTLM, 5YCRPETF)",7,7424261.26
"Multifactor 60 (ETF, US Only)",21,7372558.9799999995
"Market 40 (ETF, ESG)",21,7258221.55
Blended - 00306,3,7201028.53
"Multifactor 20 (ETF, exCore)",12,7192238.32
"Multifactor 70 TM (ETF, QUSALVMQ, N7YMUN)",3,7154496.21
"Multifactor 70 (ETF, US Only, QUSALVMQ)",1,6997638
"Multifactor 80 TM (ETF, CA Muni)",4,6851266.62
"Multifactor 90 (ETF, US Only)",16,6780693.53
"Multifactor 30 (ETF, 5YTRYETF)",5,6644675.57
"Multifactor 70 TM (ETF, exCore, QUSLGVMQ, N7YMUN)",3,6554957.49
Blended - 00021,1,6476166.2
"Multifactor 40 (ETF, exCore)",21,6443221.19
